871.220167E+3	1.955305E+0	1.028799E+0	-11.655109E+0	435.860028E+0	-194.280369E+0	477.198938E+0	-24.024458E+0	
759.065015E+3	1.958081E+0	1.010935E+0	-10.243742E+0	458.449900E+0	-174.292162E+0	490.463117E+0	-20.815658E+0	
660.717001E+3	1.964790E+0	991.869929E-3	-12.633164E+0	472.066669E+0	-219.218287E+0	520.484003E+0	-24.909210E+0	
575.500826E+3	1.971685E+0	970.772355E-3	-12.397223E+0	497.746542E+0	-220.636983E+0	544.455966E+0	-23.906357E+0	
501.149994E+3	1.976121E+0	949.182621E-3	-12.908568E+0	520.827568E+0	-235.336516E+0	571.528330E+0	-24.315885E+0	
436.516164E+3	1.981586E+0	927.067019E-3	-14.479368E+0	541.211398E+0	-270.424996E+0	605.011947E+0	-26.549745E+0	
380.185484E+3	1.985030E+0	902.939857E-3	-14.890045E+0	569.041104E+0	-285.846323E+0	636.801302E+0	-26.671743E+0	
331.157453E+3	1.989715E+0	882.953454E-3	-15.032551E+0	595.238134E+0	-295.746534E+0	664.661153E+0	-26.420674E+0	
288.397089E+3	1.995216E+0	863.018697E-3	-15.905052E+0	619.039007E+0	-320.583051E+0	697.124655E+0	-27.378380E+0	
251.244065E+3	1.997947E+0	838.041488E-3	-15.654476E+0	655.590299E+0	-325.512685E+0	731.954335E+0	-26.405247E+0	
218.801239E+3	2.001335E+0	819.553138E-3	-15.485133E+0	684.789303E+0	-329.902371E+0	760.113126E+0	-25.722790E+0	
190.490328E+3	2.004169E+0	799.002118E-3	-15.496588E+0	717.079199E+0	-339.111455E+0	793.220749E+0	-25.309774E+0	
165.958072E+3	2.003910E+0	781.530698E-3	-15.258214E+0	745.691568E+0	-341.443086E+0	820.145898E+0	-24.602467E+0	
144.514835E+3	2.006309E+0	764.674033E-3	-15.246868E+0	774.884844E+0	-349.134068E+0	849.906535E+0	-24.254542E+0	
125.824757E+3	2.006384E+0	748.101799E-3	-15.298870E+0	802.984093E+0	-358.069774E+0	879.202716E+0	-24.033233E+0	
109.648145E+3	2.008384E+0	729.986279E-3	-15.390187E+0	836.217803E+0	-369.461080E+0	914.200035E+0	-23.836991E+0	
